27
1;54,12;3;45000;861234578
2;63,14;3;50000;861512345
3;45,25;2;42500;864522332
4;22,12;1;37125;867822312
5;42,12;2;40500;861253324
6;35,41;1;40512;861253324
7;63,14;3;50000;861512345
8;45,25;2;42500;864522332
9;22,12;1;37125;867822312
10;42,12;2;41500;861452225
11;54,12;3;45000;861234578
12;63,14;3;50000;861512345
13;22,12;1;37125;867822312
14;41,12;2;40500;861452325
15;35,41;1;40512;861253324
16;63,14;3;50000;861512345
17;45,25;2;42500;864522332
18;22,12;1;37125;867822312
19;45,12;2;39500;861452245
20;54,12;3;45000;861234578
21;63,14;3;50000;861512345
22;45,25;2;42500;864522332
23;22,12;1;37125;867822312
24;42,12;2;40500;861452225
25;35,41;1;40512;861253324
26;22,12;1;37125;867822312
27;48,12;2;34500;861451225
